timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-27T11:05:00,karting,b10476c0-7f72-4b54-b58c-fa31c7576da4,376.5517330169678,0.0016858282283952,4.477016251892497e-06,42.5,0.0,3.0,0.0044442843347787,0.0,0.0003136816346645,0.0047579659694433,Germany,DEU,bavaria,,,macOS-10.16-x86_64-i386-64bit,3.9.16,2.2.4,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,,,11.6373,48.1594,8.0,machine,N,1.0
2023-06-27T11:23:05,karting,db2dc2d9-3c96-45d7-8d25-b55779e39824,929.2799389362336,0.0041606031127725,4.477233327058906e-06,42.5,0.0,3.0,0.0109684632799691,0.0,0.0007741375909248,0.011742600870894,Germany,DEU,bavaria,,,macOS-10.16-x86_64-i386-64bit,3.9.16,2.2.4,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,,,11.6373,48.1594,8.0,machine,N,1.0
2023-06-27T11:45:30,karting,6c594fac-f653-4730-8754-1b55dc3a9956,45.05271124839783,0.0002017496824331,4.478080826717775e-06,42.5,0.0,3.0,0.0005318626256452,0.0,3.754184106985728e-05,0.0005694044667151,Germany,DEU,bavaria,,,macOS-10.16-x86_64-i386-64bit,3.9.16,2.2.4,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,,,11.6373,48.1594,8.0,machine,N,1.0
2023-06-27T12:19:23,karting,a96fc1d5-beb7-4f15-b2cc-660c9544f432,119.1397671699524,0.0005335058663522,4.47798312037289e-06,42.5,0.0,3.0,0.0014064545907908,0.0,9.927577594916025e-05,0.0015057303667399,Germany,DEU,bavaria,,,macOS-10.16-x86_64-i386-64bit,3.9.16,2.2.4,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,,,11.6373,48.1594,8.0,machine,N,1.0
2023-06-27T17:01:07,karting,cb7c9ddc-6e29-445c-b57c-c2358aaa0ac5,16324.21291399002,0.0730965175462853,4.477797363426991e-06,42.5,0.0,3.0,0.1927010999292136,0.0,0.0136014978752533,0.206302597804467,Germany,DEU,bavaria,,,macOS-10.16-x86_64-i386-64bit,3.9.16,2.2.4,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,,,11.6373,48.1594,8.0,machine,N,1.0
2023-06-27T22:34:18,karting,b306d460-e220-4c45-a8e7-8dc35600f1e9,17047.49898004532,0.0762428982159794,4.4723802773195255e-06,42.5,0.0,2.9583849906921387,0.2011945244805681,0.0,0.0139882023318046,0.2151827268123725,Germany,DEU,bavaria,,,Windows-10-10.0.19045-SP0,3.9.16,2.2.4,8,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,1.0,1 x NVIDIA GeForce GTX 960M,11.5683,48.1663,7.889026641845703,machine,N,1.0
2023-06-28T14:55:24,karting,130a4888-d927-4cf2-a84d-1de91d84f91e,14439.854309082031,0.0113691209828131,7.873431919366741e-07,5.0,0.0,3.0,0.0200549328774213,0.0,0.0120324944343169,0.0320874273117383,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.5683,48.1663,8.0,machine,N,1.0
2023-06-28T19:05:05,karting,e1461819-d895-4d18-8844-08c8dd04393b,8.84983777999878,6.967838958638112e-06,7.873408679180414e-07,5.0,0.0,3.0,1.229115923245748e-05,0.0,7.374391555786134e-06,1.9665550788243613e-05,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.5683,48.1663,8.0,machine,N,1.0
2023-06-28T19:06:26,karting,f5c4ae36-583e-49fc-a659-6307a6e7b8b2,36.299997091293335,2.8580254741136104e-05,7.873349044424901e-07,5.0,0.0,3.0,5.041571093930139e-05,0.0,3.024723986784617e-05,8.066295080714757e-05,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.5683,48.1663,8.0,machine,N,1.0
2023-06-28T19:06:53,karting,338b4813-bee8-45df-88b3-ef76639cd711,5.304646968841553,4.176412795234124e-06,7.873121095080496e-07,5.0,0.0,3.0,7.367320855458577e-06,0.0,4.419900178909302e-06,1.178722103436788e-05,Germany,DEU,bavaria,,,macOS-13.2.1-arm64-arm-64bit,3.9.16,2.2.4,8,Apple M1,,,11.5683,48.1663,8.0,machine,N,1.0
